TagID,Tag,Desc,Value
108600,CompressorIPortM,压缩机入口质量流量,0.08
108616,CompressorOPortP,压缩机出口压力,0.6854
108614,CompressorOPortT,压缩机出口温度,29.27
108714,CondenserOPortT,冷凝器出口温度,26
108708,CondenserOPortX,冷凝器出口干度,0
108814,ExpansionValveOPortT,膨胀阀出口温度,26
108808,ExpansionValveOPortX,膨胀阀出口干度,0
108914,EvaporatorValveOPortT,蒸发器出口温度,0
108908,EvaporatorValveOPortX,蒸发器出口干度,1
